Ref,Val,Package,PosX,PosY,Rot,Side
D59,D_Rev,D_SOD123_Rev,321.4125,-90,90,bottom
D60,D_Rev,D_SOD123_Rev,354.75,-90,90,bottom
D61,D,D_SOD123,78.525,90,90,bottom
D62,D_Rev,D_SOD123_Rev,107.1,-90,90,bottom
D63,D,D_SOD123,126.15,90,90,bottom
D64,D_Rev,D_SOD123_Rev,145.2,-90,90,bottom
D65,D,D_SOD123,164.25,90,90,bottom
D66,D_Rev,D_SOD123_Rev,183.3,-90,90,bottom
D67,D,D_SOD123,202.35,90,90,bottom
D68,D_Rev,D_SOD123_Rev,221.4,-90,90,bottom
D69,D,D_SOD123,240.45,90,90,bottom
D70,D_Rev,D_SOD123_Rev,259.5,-90,90,bottom
D71,D,D_SOD123,278.55,90,90,bottom
D72,D,D_SOD123,307.125,90,90,bottom
D73,D,D_SOD123,335.7,90,90,bottom
D74,D_Rev,D_SOD123_Rev,354.75,-90,90,bottom
D75,D,D_SOD123,71.38125,90,90,bottom
D76,D_Rev,D_SOD123_Rev,95.19375,-90,90,bottom
D77,D,D_SOD123,119.00625,90,90,bottom
D78,D_Rev,D_SOD123_Rev,183.3,-90,90,bottom
D79,D_Rev,D_SOD123_Rev,247.59375,-90,90,bottom
D80,D,D_SOD123,271.40625,90,90,bottom
D81,D,D_SOD123,295.21875,90,90,bottom
D82,D_Rev,D_SOD123_Rev,316.65,-90,90,bottom
D83,D,D_SOD123,335.7,90,90,bottom
D84,D_Rev,D_SOD123_Rev,354.75,-90,90,bottom
LED1,SK6812MINI-E_Rev,LED_SK6812MINI-E_Reversed_PLCC4_3.2x2.8mm_P1.5mm,76.2,51.85,0,bottom
LED2,SK6812MINI-E_Rev,LED_SK6812MINI-E_Reversed_PLCC4_3.2x2.8mm_P1.5mm,95.25,51.85,0,bottom
LED3,SK6812MINI-E_Rev,LED_SK6812MINI-E_Reversed_PLCC4_3.2x2.8mm_P1.5mm,114.3,51.85,0,bottom
LED4,SK6812MINI-E_Rev,LED_SK6812MINI-E_Reversed_PLCC4_3.2x2.8mm_P1.5mm,133.35,51.85,0,bottom
LED5,SK6812MINI-E_Rev,LED_SK6812MINI-E_Reversed_PLCC4_3.2x2.8mm_P1.5mm,152.4,51.85,0,bottom
LED6,SK6812MINI-E_Rev,LED_SK6812MINI-E_Reversed_PLCC4_3.2x2.8mm_P1.5mm,171.45,51.85,0,bottom
LED7,SK6812MINI-E_Rev,LED_SK6812MINI-E_Reversed_PLCC4_3.2x2.8mm_P1.5mm,190.5,51.85,0,bottom
LED8,SK6812MINI-E_Rev,LED_SK6812MINI-E_Reversed_PLCC4_3.2x2.8mm_P1.5mm,209.55,51.85,0,bottom
LED9,SK6812MINI-E_Rev,LED_SK6812MINI-E_Reversed_PLCC4_3.2x2.8mm_P1.5mm,228.6,51.85,0,bottom
LED10,SK6812MINI-E_Rev,LED_SK6812MINI-E_Reversed_PLCC4_3.2x2.8mm_P1.5mm,247.65,51.85,0,bottom
LED11,SK6812MINI-E_Rev,LED_SK6812MINI-E_Reversed_PLCC4_3.2x2.8mm_P1.5mm,266.7,51.85,0,bottom
LED12,SK6812MINI-E_Rev,LED_SK6812MINI-E_Reversed_PLCC4_3.2x2.8mm_P1.5mm,285.75,51.85,0,bottom
LED13,SK6812MINI-E_Rev,LED_SK6812MINI-E_Reversed_PLCC4_3.2x2.8mm_P1.5mm,304.8,51.85,0,bottom
LED14,SK6812MINI-E_Rev,LED_SK6812MINI-E_Reversed_PLCC4_3.2x2.8mm_P1.5mm,323.85,51.85,0,bottom
LED15,SK6812MINI-E_Rev,LED_SK6812MINI-E_Reversed_PLCC4_3.2x2.8mm_P1.5mm,342.9,51.85,0,bottom
LED16,SK6812MINI-E_Rev,LED_SK6812MINI-E_Reversed_PLCC4_3.2x2.8mm_P1.5mm,361.95,51.85,0,bottom
LED17,SK6812MINI-E_Rev,LED_SK6812MINI-E_Reversed_PLCC4_3.2x2.8mm_P1.5mm,76.2,70.9,0,bottom
LED18,SK6812MINI-E_Rev,LED_SK6812MINI-E_Reversed_PLCC4_3.2x2.8mm_P1.5mm,95.25,70.9,0,bottom
LED19,SK6812MINI-E_Rev,LED_SK6812MINI-E_Reversed_PLCC4_3.2x2.8mm_P1.5mm,114.3,70.9,0,bottom
LED20,SK6812MINI-E_Rev,LED_SK6812MINI-E_Reversed_PLCC4_3.2x2.8mm_P1.5mm,133.35,70.9,0,bottom
LED21,SK6812MINI-E_Rev,LED_SK6812MINI-E_Reversed_PLCC4_3.2x2.8mm_P1.5mm,152.4,70.9,0,bottom
LED22,SK6812MINI-E_Rev,LED_SK6812MINI-E_Reversed_PLCC4_3.2x2.8mm_P1.5mm,171.45,70.9,0,bottom
LED23,SK6812MINI-E_Rev,LED_SK6812MINI-E_Reversed_PLCC4_3.2x2.8mm_P1.5mm,190.5,70.9,0,bottom
