Designator,Val,Package,Mid X,Mid Y,Rotation,Layer
LED5,SK6812MINI-E_Rev,LED_SK6812MINI-E_Reversed_PLCC4_3.2x2.8mm_P1.5mm,85.85,4.35,0,bottom
LED6,SK6812MINI-E_Rev,LED_SK6812MINI-E_Reversed_PLCC4_3.2x2.8mm_P1.5mm,104.9,4.35,0,bottom
LED7,SK6812MINI-E_Rev,LED_SK6812MINI-E_Reversed_PLCC4_3.2x2.8mm_P1.5mm,123.95,4.35,0,bottom
LED8,SK6812MINI-E_Rev,LED_SK6812MINI-E_Reversed_PLCC4_3.2x2.8mm_P1.5mm,143,4.35,0,bottom
LED9,SK6812MINI-E_Rev,LED_SK6812MINI-E_Reversed_PLCC4_3.2x2.8mm_P1.5mm,162.05,4.35,0,bottom
LED10,SK6812MINI-E_Rev,LED_SK6812MINI-E_Reversed_PLCC4_3.2x2.8mm_P1.5mm,181.1,4.35,0,bottom
LED11,SK6812MINI-E_Rev,LED_SK6812MINI-E_Reversed_PLCC4_3.2x2.8mm_P1.5mm,200.15,4.35,0,bottom
LED12,SK6812MINI-E_Rev,LED_SK6812MINI-E_Reversed_PLCC4_3.2x2.8mm_P1.5mm,219.2,4.35,0,bottom
LED13,SK6812MINI-E_Rev,LED_SK6812MINI-E_Reversed_PLCC4_3.2x2.8mm_P1.5mm,238.25,4.35,0,bottom
LED14,SK6812MINI-E_Rev,LED_SK6812MINI-E_Reversed_PLCC4_3.2x2.8mm_P1.5mm,257.3,4.35,0,bottom
LED15,SK6812MINI-E_Rev,LED_SK6812MINI-E_Reversed_PLCC4_3.2x2.8mm_P1.5mm,276.35,4.35,0,bottom
LED16,SK6812MINI-E_Rev,LED_SK6812MINI-E_Reversed_PLCC4_3.2x2.8mm_P1.5mm,295.4,4.35,0,bottom
LED17,SK6812MINI-E_Rev,LED_SK6812MINI-E_Reversed_PLCC4_3.2x2.8mm_P1.5mm,9.65,23.4,0,bottom
LED18,SK6812MINI-E_Rev,LED_SK6812MINI-E_Reversed_PLCC4_3.2x2.8mm_P1.5mm,28.7,23.4,0,bottom
LED19,SK6812MINI-E_Rev,LED_SK6812MINI-E_Reversed_PLCC4_3.2x2.8mm_P1.5mm,47.75,23.4,0,bottom
LED20,SK6812MINI-E_Rev,LED_SK6812MINI-E_Reversed_PLCC4_3.2x2.8mm_P1.5mm,66.8,23.4,0,bottom
LED21,SK6812MINI-E_Rev,LED_SK6812MINI-E_Reversed_PLCC4_3.2x2.8mm_P1.5mm,85.85,23.4,0,bottom
